Term,Definition,Example
GIF file type,Graphics Interchange Format is a raster image format supporting up to 256 colors and simple frame-based animation. It uses LZW compression and preserves exact pixel data but lacks full alpha transparency.,Creating a looping GIF of a user interface mockup to showcase hover effects on a design portfolio website.
GIS,"Geographic Information Systems integrate spatial imagery and vector data with georeferenced coordinates to analyze, visualize, and model geographic phenomena. They support map overlays, terrain analysis, and remote-sensing workflows.",Overlaying satellite imagery and street networks in QGIS to plan new urban transit routes.
gradient direction,"Gradient direction at a pixel is the angle of maximum intensity change, computed via arctan of vertical and horizontal derivatives. It indicates edge orientation.","Computing atan2(Gy, Gx) after Sobel filtering to color-code edge orientation."
granularity,"The level of detail or resolution at which image analysis is performed—pixel-level, patch-level, or object-level. Fine granularity captures minute features; coarse granularity focuses on larger structures and patterns.",Segmenting an image into 100×100-pixel superpixels (coarse granularity) before applying fine-grained object classification.
graphic designer,"A professional who uses image-processing and design software to create visual content, combining typography, imagery, and layout principles. Their work relies on DIP tools for color correction, retouching, and compositing to meet aesthetic and functional goals.","Designing a marketing poster in Adobe Photoshop, employing layer masks and color grading to achieve a cohesive look."
grayscale,"Images composed exclusively of shades of gray, where each pixel holds an intensity value without color. Converting RGB to grayscale reduces dimensionality and simplifies many processing tasks.",Converting a color photograph to grayscale via Y = 0.299 R + 0.587 G + 0.114 B before running the Canny edge detector.
grey levels,"Grey levels are discrete intensity values that a pixel can take, typically from 0 (black) to L–1 (white) where L is the number of levels (e.g., 256). They define the quantization of continuous brightness.",An 8-bit image has 256 grey levels ranging from 0 to 255.
grey-level slicing,Grey-level slicing highlights a specified intensity range by mapping it to high output values while suppressing others. It emphasizes features within that range and is useful in medical imaging.,Mapping intensities 100–150 to white and all others to black to isolate specific tissues.
hand-crafted features,"Manual descriptors designed using domain knowledge to capture salient image characteristics such as edges, textures, and shapes. Examples include SIFT, HOG, and SURF, which powered vision pipelines before deep learning dominated.",Using SIFT keypoint descriptors to match features between two overlapping photographs for panorama stitching.
Harris,"The Harris corner detector identifies interest points by measuring local intensity gradients and computing a corner response function, robust to rotation and moderate illumination changes. It’s widely used for selecting stable keypoints.",Detecting building corners in an aerial image to serve as anchors for image registration.
HCI,"Human–Computer Interaction is the multidisciplinary study of how people design, implement, and use computational systems with graphical or natural interfaces. It informs the ergonomics and usability of vision-based applications.",Designing a touch-friendly photo-editing app interface that uses gesture controls for filter selection.
HDR imaging,"High Dynamic Range imaging combines multiple exposures of the same scene to extend the captured brightness range, preserving detail in both shadows and highlights. Tone-mapping operators then compress this range for display.",Merging bracketed exposures of a sunset into an HDR image that retains detail in the bright sky and dark foreground.
HEIC file type,"HEIC (High Efficiency Image File Format) stores images and image sequences using HEVC compression, offering better quality-to-size ratios than JPEG and supporting features like transparency and depth maps.",Saving iPhone photos as .HEIC to reduce storage while preserving high image fidelity and metadata.
hidden layers,Layers in a neural network situated between the input and output that learn intermediate representations by applying weights and activations. The number and size of hidden layers determine the model’s capacity and abstraction level.,A feed-forward network with two hidden layers of 128 and 64 neurons trained to classify handwritten digits.
high pass filtering,High pass filters attenuate low-frequency (smooth) components while preserving or boosting high frequencies. They enhance edges and detail by removing slow variations in intensity.,Applying a Laplacian kernel to sharpen building edges in an architectural photo.
high-level image processing spectrum,"The top end of the processing pipeline focused on semantic interpretation—tasks like object recognition, scene understanding, and activity analysis. It builds on low- and mid-level processing to deliver actionable insights from images.",Using a CNN to classify and count vehicles in traffic camera footage for urban planning.
highboost filter,"A highboost filter adds a scaled high-pass filtered image back to the original, amplifying fine details without losing the overall brightness. The boost factor controls the degree of sharpening.",Using A=1.5 so that output = original + 0.5*(original − blurred).
histogram equalization,"A global contrast enhancement technique that redistributes pixel intensities so the output histogram is approximately uniform, improving visibility in images with poor dynamic range.",Applying OpenCV’s equalizeHist on a dim indoor photo to brighten shadows and enhance details.
histogram equalization,Histogram equalization redistributes pixel intensities so the output histogram approximates a uniform distribution. This global contrast enhancement makes features more distinct in images with poor dynamic range.,Running OpenCV’s equalizeHist on a low-contrast X-ray to reveal bone structures.
HOG,"Histogram of Oriented Gradients computes gradient orientation histograms over local cells to encode shape and texture information, robust to illumination changes and small deformations. It’s often used in pedestrian detection.",Extracting HOG descriptors from image windows and classifying them with an SVM to detect people in street scenes.
Hough transform,"A voting-based method that maps image points into a parameter space to detect geometric shapes (lines, circles) by finding accumulations of votes corresponding to shape parameters.",Detecting lane markings in road images by applying the Hough line transform to edge-detected pixels.
HSI color space,"A color model representing pixels by Hue, Saturation, and Intensity, separating chromatic content from brightness. It facilitates operations like color-based segmentation and brightness adjustment independent of hue.",Converting an RGB image to HSI and thresholding the hue channel to segment ripe fruit in an agricultural scene.
HSV color space,"A model that describes colors in terms of Hue, Saturation, and Value (brightness), aligning more closely with human perception and easing tasks like color selection and adjustment.",Using the HSV space to isolate and track a red ball in video by thresholding hue between 0° and 10°.
Hubble telescope,"A space-based observatory orbiting above Earth’s atmosphere that captures high-resolution images in visible, ultraviolet, and near-infrared bands. Its data has driven breakthroughs in astronomy and cosmology.",Processing Hubble Deep Field exposures with drizzling and cosmic-ray removal to reveal distant galaxies.
hue component,"The angular attribute of a color in HSI/HSV spaces representing the dominant wavelength (e.g., red at 0°, green at 120°, blue at 240°). It defines pure color irrespective of brightness or saturation.","In HSV, a pixel with hue = 60° corresponds to pure yellow, used to highlight yellow traffic signs."
Hugging Face,"A platform and open-source community providing state-of-the-art machine-learning models, datasets, and tools—initially for NLP but now also hosting vision and multimodal architectures.",Downloading a pretrained Vision Transformer from the Hugging Face Hub for fine-tuning on a flower classification task.
Human Computer Interface,"The hardware and software mechanisms through which users interact with a computer system, including keyboards, touchscreens, and voice-based controls. In vision systems, HCIs enable user-guided annotation and feedback loops.",Using a tablet’s touchscreen GUI to draw bounding boxes around objects for dataset labeling.
human vision,"The biological process by which the eye and visual cortex perceive, process, and interpret light stimuli, featuring non-linear response curves, variable spatial acuity, and color opponency. Insights from human vision guide computational models.",Implementing a retinal-contrast model to simulate human sensitivity when designing a tone-mapping algorithm.
identity transformation,An identity transformation leaves every pixel’s intensity unchanged. It serves as a baseline in point processing and confirms that subsequent operations are working correctly.,Applying f(r)=r to verify that a point-processing routine is initialized properly.
"IDFT, inverse discrete Fourier transform",The IDFT reconstructs a spatial-domain image from its DFT spectrum. It sums weighted complex exponentials to recover original pixel intensities after frequency-domain processing.,Using MATLAB’s ifft2 on a filtered spectrum to obtain the sharpened image.
Illumination source,"The physical light emitters or reflectors (sun, lamps, LEDs) that light a scene; their spectral distribution, intensity, and geometry influence image appearance and must be modeled or compensated in vision tasks.",Calibrating a studio setup with 5500 K LED panels to ensure consistent color rendering in product photography.
"ILPF, ideal lowpass filter","An ideal lowpass filter perfectly passes frequencies below a cutoff radius and completely blocks those above it. While mathematically sharp, it causes ringing artifacts in the spatial domain.","Applying a binary mask with cutoff D₀=30 in the frequency plane, then ifft2."
image acquisition,"The process of capturing images from real-world scenes or objects via sensors (cameras, scanners, microscopes), including considerations of resolution, sampling rate, and noise characteristics.",Grabbing live frames from an industrial machine-vision camera at 120 fps for defect detection.
image alignment,"Registering two or more images by estimating and applying geometric transformations (translation, rotation, scale) so they share a common coordinate frame for analysis or fusion.",Aligning multispectral satellite images using feature matching and RANSAC to create a composite map.
image averaging,"Image averaging combines multiple exposures of the same scene by computing the mean pixel value at each location. This reduces random noise while preserving signal, especially in low-light imaging.",Averaging 10 time-lapse frames of a dim star field to improve SNR.
image compression,"Reducing the data size of an image by encoding it with fewer bits, using lossless (PNG) or lossy (JPEG, HEVC) algorithms, which trade off fidelity for storage or bandwidth savings.",Saving photos as JPEG at 80% quality to upload quickly while maintaining acceptable visual quality.
image displays,"Hardware devices (LCD, OLED, projectors) that render digital images for human viewing, each with specific color gamut, brightness range, and response characteristics requiring calibration.",Showing medical scans on a DICOM-calibrated monitor to ensure consistent grayscale rendering for diagnostics.
image enhancement,"A set of techniques (contrast adjustment, denoising, sharpening) applied to images to improve visual quality or to reveal hidden details, often as a preprocessing step for analysis.",Applying an unsharp mask filter to a landscape photo to bring out fine textural details in foliage.
image enhancement,"Image enhancement applies spatial or frequency transforms to make certain features more visible to human observers or to ease subsequent analysis. Techniques include contrast adjustment, sharpening, and noise reduction.","First equalizing the histogram, then applying unsharp masking to a satellite image."
image filters,"Operators that modify pixel neighborhoods to perform tasks like smoothing, sharpening, and edge detection; they include linear kernels (Gaussian blur) and nonlinear methods (median filter).",Using a 3×3 median filter to remove salt-and-pepper noise from a scanned document image.
image formation,"The physical process by which optics (lenses, mirrors) project a scene onto a sensor or film, governed by imaging equations and affected by aberrations, depth of field, and illumination geometry.",Modeling a pinhole camera projection in simulation to understand perspective distortion.
image processing,"Image processing is the set of operations that modify or analyze pixel data to improve quality or extract information. It spans point operations, spatial filtering, frequency analysis, and machine-vision algorithms.",Using OpenCV to detect and track vehicles in traffic footage.
image processing software,"Applications and libraries (OpenCV, MATLAB, Photoshop) that implement algorithms for acquisition, transformation, analysis, and visualization of images in research and industry.","Using MATLAB’s Image Processing Toolbox to call imadjust, imfilter, and bwlabel for segmentation tasks."
image processing spectrum,"The continuum of operations from low-level (pixel intensity transforms, filtering), through mid-level (segmentation, feature extraction), to high-level (recognition, interpretation) tasks in vision systems.","Building a pipeline that applies Gaussian blur (low-level), edge linking (mid-level), and object classification (high-level)."
Image Processing Toolbox,"A MATLAB add-on providing functions for image analysis, enhancement, filtering, segmentation, and geometric transformations, with a user-friendly interface and integration with Simulink.",Using imrotate and imwarp from Image Processing Toolbox to correct image skew in scanned documents.
image restoration,"Techniques that invert degradations (blur, noise, missing data) to recover an approximation of the original image, including deconvolution, inpainting, and denoising methods based on physical models and regularization.",Applying Wiener deconvolution with a known blur kernel to deblur a motion-blurred photograph.
image sensors,"Devices (CCD, CMOS) that convert incident light into electrical signals, characterized by parameters like quantum efficiency, noise, dynamic range, and pixel pitch, which determine image quality.",Capturing low-light fluorescence microscopy images with a cooled CCD sensor to reduce thermal noise.
image sharpening,"Enhancing edges and fine details by boosting high-frequency components, using methods like unsharp masking, high-pass filters, or Laplacian operators to make features more distinct.",Applying an unsharp mask with radius=2 px and amount=1.5 in Photoshop to crisp up a portrait image.
image stitching,"Combining multiple overlapping images by aligning, warping, and blending them to produce a seamless panorama or mosaic, handling exposure differences and parallax.",Creating a 180° panorama by matching features across three handheld shots and blending seams smoothly.
image transforms,"Mathematical operations that map image data into alternative domains (Fourier, Wavelet, DCT) or coordinate systems (Radon, log-polar) to facilitate analysis, compression, or filtering.",Computing the 2D DCT of an image block for JPEG compression.
ImageNet,"A large-scale image database with over 14 million labeled images across 20 000+ categories, widely used to pretrain deep neural networks and benchmark vision models.",Fine-tuning a pretrained ResNet-50 on a custom dataset after initializing from ImageNet weights.
imaging system,"The complete assembly of optics, sensors, electronics, and software that captures, processes, and displays images, designed for applications like microscopy, remote sensing, or medical diagnostics.","An endoscopic imaging system consisting of illumination fiber, lens assembly, CMOS sensor, and processing board."
impulse noise,"Impulse noise, also called salt-and-pepper noise, randomly sets pixels to minimum or maximum values. It often arises from faulty sensors or transmission errors and is best removed with nonlinear filters like median.",Simulating salt-and-pepper noise by randomly setting 5% of pixels to 0 or 255.
indexed image,"A representation where each pixel holds an integer index that refers to a row in a separate colormap, enabling compact storage and palette-based rendering with up to 2^m colors for an m-bit index.",Displaying an 8-bit indexed GIF where the pixel data matrix indexes a 256×3 RGB colormap.
indexed image - color map matrix,The N×3 matrix of RGB triplets defining the palette entries for an indexed image; each row corresponds to one color used when rendering the image data indices.,"In MATLAB, a 256×3 double matrix where row i gives the RGB color for index i in an 8-bit indexed image."
indexed image - data matrix,"The M×N matrix of integer indices that reference rows in the colormap matrix, specifying which palette color each pixel should display.",A 480×640 matrix of values 1–128 that indexes into a 128-color map for poster-style rendering.
industrial inspection,"Automated vision-based quality control processes on production lines that detect defects, measure tolerances, and verify assembly using cameras, lighting, and analysis algorithms in real time.",A machine-vision system that inspects X-ray images of assembled PCBs to find missing or misaligned components.
infrared band,"The portion of the electromagnetic spectrum from roughly 700 nm to 1 mm, used in thermal imaging, night vision, and remote sensing; different sub-bands (NIR, SWIR, MWIR, LWIR) reveal material properties and heat signatures.",Using a LWIR thermal camera to detect hotspots in industrial equipment for preventative maintenance.
input intensity,Input intensity is the original grey-level value of a pixel before any transformation. It is the reference for all point and neighborhood operations.,r = 120 in an 8-bit image denotes a medium-bright pixel.
intensity resolution,"The number of distinct gray or color levels a sensor or image can represent per channel, determined by bit depth; higher resolution yields finer gradations in brightness.",A 12-bit sensor offering 4096 intensity levels for capturing subtle shading in medical X-rays.
intensity transform,"An intensity transform is a mapping from input pixel values to new output values, applied independently at each pixel. It includes linear, logarithmic, power-law, and piecewise functions for contrast or brightness adjustment.",Applying s=2·r to double brightness across all pixels.
internal image plane,"The conceptual plane inside a camera model where light rays converge to form the image; in pinhole models it’s at the focal distance, while thick-lens models have principal planes.",Simulating pinhole camera projection by sampling scene points onto the internal image plane at z = f.
inverse logarithm transformation,"Inverse logarithmic transforms expand high-intensity values more than low ones, brightening details in lighter areas. It’s the reverse of a log transform and can enhance bright regions without saturating dark ones.",Using s = exp(r/10) mapping to boost highlights in a sunset photo.
Isopreference curve,"A psychophysical contour in a multi-dimensional attribute space (e.g., brightness vs. contrast) along which a human observer has equal aesthetic or functional preference. It guides display calibration and image enhancement design.",Plotting combinations of tone-mapping strength and contrast adjustment that observers rate as equally pleasing
Java,"A high-level, platform-independent, object-oriented programming language widely used for building cross-platform applications, including image processing and computer vision. It includes libraries like JavaCV and OpenIMAJ for vision tasks.",Using JavaCV in a Spring application to apply real-time face detection on video streams.
JAX,"A Python library by Google for high-performance numerical computing that combines a NumPy-like API with automatic differentiation and XLA compilation, enabling accelerated machine learning and vision research. Its functional style supports composable transformations.",Implementing a convolutional neural network in JAX to accelerate training on a TPU for image classification.
jitter,"Small, rapid variations in timing or spatial sampling during image acquisition or display that can cause blurring, ghosting, or misalignment artifacts. In video systems, jitter arises from frame timing instability and mechanical vibrations.",Observing motion blur in high-speed footage due to sensor jitter on a handheld drone camera.
JPEG,A lossy image compression standard (Joint Photographic Experts Group) that reduces file size by discarding high-frequency components imperceptible to the human eye. It uses discrete cosine transform (DCT) and quantization to balance compression ratio and visual quality.,Saving a digital photograph as a 90%-quality JPEG to share on a website without noticeable degradation.
JPEG file type,"A file format (.jpg, .jpeg) using the JPEG compression algorithm to store still images efficiently. It supports 8-bit per channel color and is universally compatible across devices and software.",Archiving holiday photos in the .jpeg format to ensure broad compatibility and reasonable file size.
k-NN,k-Nearest Neighbors is a non-parametric classification/regression algorithm that assigns labels based on the majority vote (or average) of the k closest data points in feature space. It’s simple to implement but scales poorly with large datasets.,Classifying handwritten digits by comparing a test image’s pixel feature vector to its 5 nearest neighbors in the training set.
Keras,"A high-level neural network API in Python that runs on top of TensorFlow, Theano, or CNTK, designed for rapid prototyping and easy model building. It provides user-friendly layers, optimizers, and pre-trained models tailored for vision and NLP tasks.",Defining and training a simple CNN in Keras to classify cat vs. dog images in just a few lines of code.
LANDSAT,"A series of Earth-observing satellites that capture multispectral imagery across visible, infrared, and thermal bands, providing data for environmental monitoring, agriculture, and land-use studies since 1972. Its open archive supports remote sensing research.",Analyzing Landsat 8 imagery to map urban expansion by computing NDVI changes around a city over time.
Laplacian filters,"Laplacian filters compute a weighted sum of second-order derivatives around each pixel, highlighting regions of rapid intensity change. They are used for edge detection and image sharpening.",Convolving with the 3×3 kernel [0 –1 0; –1 4 –1; 0 –1 0] to accentuate edges.
law enforcement,"Agencies and processes that apply image processing and computer vision for surveillance, forensics, and public safety—such as face recognition, license-plate reading, and crime-scene reconstruction. Deployment is governed by ethical and privacy considerations.",Using automatic license plate recognition to detect stolen vehicles at highway toll plazas in real time.
LBP (Local Binary Patterns),"A texture descriptor that thresholds each neighbor pixel against a central pixel and encodes the result as a binary number, capturing micro-patterns for classification tasks. LBP is simple, rotation-invariant, and robust to slight illumination changes.",Computing LBP histograms on facial images as input to an SVM for real-time face authentication.
learned features,"Data-driven representations automatically extracted by machine learning models—especially deep networks—that capture hierarchical, task-specific patterns without manual design. They often outperform hand-crafted features in complex vision tasks.",Using activations from a pretrained ResNet’s penultimate layer as feature vectors for image retrieval.
LeNet-5,"A pioneering CNN architecture by Yann LeCun et al. for handwritten-digit recognition, consisting of alternating convolution and pooling layers followed by fully connected layers. It demonstrated the power of learned features for vision in 1998.",Training LeNet-5 on the MNIST dataset to achieve over 99% accuracy in digit classification.
lens,"An optical component that focuses or diverges light rays to form images on sensors or film, characterized by focal length, aperture, and distortion properties. In cameras, lens choice determines field of view, depth of field, and aberrations.",Using a 50 mm f/1.8 prime lens on a DSLR to capture portraits with shallow depth of field.
light receptors,"Photoreceptive elements in sensors (pixels in CCD/CMOS) or biological rods/cones that convert incoming photons into electrical signals, determining sensitivity, dynamic range, and spectral response.",Adjusting the Bayer filter pattern on a CMOS sensor to optimize color sensitivity for sRGB capture.
linear transformation,A linear transformation scales and shifts pixel values by a constant multiplier plus an offset. It includes contrast stretching and brightness adjustment.,Using s = 1.2·r + 10 to slightly boost contrast and overall brightness.
Linux,"An open-source operating system kernel used extensively in scientific computing and embedded vision platforms for its stability, performance, and extensive support of libraries like OpenCV and ROS. Its modularity enables deployment on diverse hardware.",Running a ROS-based robot vision stack on Ubuntu Linux to perform real-time obstacle detection.
local histogram processing,"Local histogram processing computes histogram-based transforms within a moving window around each pixel. It adapts contrast enhancement to local image characteristics, revealing regional detail.",Applying CLAHE (Contrast Limited Adaptive HE) on a foggy landscape.
logarithm transformation,"A logarithm transformation compresses the dynamic range by mapping input intensities via a log function. It enhances dark values more than bright ones, making shadow detail more visible.",s = c·log(1 + r) with c=255/log(1+255) to reveal details in dark areas.
low pass filtering,Low pass filtering attenuates high-frequency components so that slow intensity variations pass through. It smooths an image and reduces noise at the cost of blurring edges.,Convolving with a uniform 5×5 averaging mask to blur textures.
low-level image processing spectrum,"The set of basic pixel-wise and neighborhood operations—point transforms, filtering, and convolution—that directly manipulate image intensities for tasks like noise removal and smoothing. These operations form the foundation for higher-level algorithms.",Applying a 3×3 median filter and histogram normalization to raw microscope images as preprocessing.
luminance component,"The brightness channel (Y) in color spaces like YUV or YCbCr, representing perceived light intensity independent of chromatic information. Many compression and enhancement algorithms operate primarily on luminance for efficiency and visual fidelity.",Enhancing the Y channel of a YCbCr image via contrast stretching before recombining with chroma for display.
lux,"The SI unit of illuminance measuring luminous flux per unit area (lumens per square meter), used to quantify scene lighting conditions and set exposure parameters in imaging systems. Cameras and sensor designs reference lux for sensitivity calibration.",Setting camera exposure time after measuring studio illumination at 500 lux to avoid underexposure.
Mac OS,"Apple’s Unix-based operating system for Mac computers, offering tight hardware–software optimization for graphics and vision tasks through frameworks like Core Image and Metal, alongside cross-platform libraries such as OpenCV.",Developing an image-editing plugin using macOS Core Image filters in Swift for a photo-retouching app.
machine language pipeline,"The structured workflow in a machine learning or deep learning project—data acquisition, preprocessing, feature extraction, model training, evaluation, and deployment—ensuring repeatable and scalable development of vision systems.","Implementing a pipeline that reads images, applies augmentation, extracts features with a CNN, and serves predictions via REST."
machine learning,"A field of AI where algorithms learn patterns from data to make predictions or decisions, widely used in vision for classification, regression, clustering, and anomaly detection across supervised, unsupervised, and reinforcement paradigms.",Training a random forest on color and texture features to classify healthy vs. diseased plant leaves.
machine learning algorithm,"A specific computational procedure (e.g., SVM, random forest, K-means) that learns from data by optimizing an objective function, producing models that generalize to unseen inputs. The choice depends on problem type, data size, and interpretability requirements.","Using K-means clustering to segment MRI brain scans into white matter, gray matter, and cerebrospinal fluid."
machine learning techniques,"Broad strategies like deep learning, ensemble methods, and transfer learning that enhance performance through architectural design, data handling, or algorithm combinations. They address challenges such as overfitting, data scarcity, and domain adaptation.",Applying transfer learning by fine-tuning a MobileNet pretrained on ImageNet for a small medical-image dataset.
machine perception,"Computational interpretation of sensory data (vision, audio) to form an environmental model for tasks like recognition, tracking, and scene understanding. Perception systems integrate sensing, algorithms, and knowledge representation.",A robot using stereo vision and SLAM to map an indoor factory floor and avoid obstacles autonomously.
MATLAB,"A high-level programming environment with built-in support for matrix operations, visualization, and specialized toolboxes (Image Processing, Deep Learning) that facilitate rapid prototyping of DIP and CV algorithms with interactive debugging and visualization.","Loading an image in MATLAB, applying imbinarize, and using bwlabel to count connected components in one script."
median smoothing filters,"Median filters replace each pixel with the median of its neighborhood, effectively removing impulse noise while preserving edges. They are nonlinear and often outperform linear averages on salt-and-pepper noise.",Applying a 3×3 median filter to remove pepper speckles from a scanned document.
medical visualization,"The application of DIP and computer graphics to render and interact with medical imaging data (CT, MRI, ultrasound) for diagnosis, surgical planning, and education, employing techniques like volume rendering and interactive segmentation.",Generating a 3D volume-rendered model of a patient’s heart from CT slices to guide surgical planning.
microwave band,"The portion of the electromagnetic spectrum from 300 MHz to 300 GHz, used in radar imaging, wireless communication, and remote sensing via SAR (Synthetic Aperture Radar), which captures surface structure regardless of lighting conditions.",Processing X-band SAR images to detect changes in forest biomass over time.
mid-level image processing spectrum,"The set of algorithms that extract structural information—edges, regions, and features—via segmentation, morphological operations, and transformations, bridging pixel-level processing and semantic analysis.",Segmenting a microscopy image into cell regions using watershed and region-growing before classification.
MLPs,"Multi-Layer Perceptrons are feed-forward neural networks with one or more hidden layers, using fully connected nodes and non-linear activations to approximate complex functions. They lack the spatial invariance of CNNs but serve in many regression and classification tasks.",Training an MLP with two hidden layers to predict pixel-wise color corrections in RAW-to-RGB conversion.
morphological processing,"Non-linear operations based on set theory (erosion, dilation, opening, closing) that probe an image with a structuring element to extract or suppress shapes and connectivity, useful for cleaning up binary masks and extracting geometrical features.",Removing small speckle noise from a binary mask using morphological opening with a 3×3 square element.
motion estimation,"The process of determining pixel or block displacements between consecutive frames, used in video compression, optical flow, and stabilization. It yields motion vectors that describe apparent movement in the scene.",Using Lucas–Kanade optical flow to estimate and visualize object motion in traffic surveillance video.
MRI,Magnetic Resonance Imaging is a medical modality using strong magnetic fields and radiofrequency pulses to non-invasively generate high-resolution cross-sectional images of soft tissues based on proton density and relaxation properties.,Segmenting a brain tumor in an MRI scan by thresholding T2-weighted images and refining boundaries with active contours.
natural light,"Sunlight or ambient outdoor illumination characterized by a broad, continuous spectrum and dynamically varying intensity. Vision pipelines adapt to natural light changes via auto-exposure, white balance, and HDR techniques.",Capturing a landscape at dawn and using automatic white-balance correction to compensate for the bluish shadow cast.
NDVI maps,"Normalized Difference Vegetation Index maps visualize plant health by computing (NIR – Red)/(NIR + Red) per pixel from multispectral imagery, highlighting chlorophyll activity and biomass density for agriculture and ecology applications.",Generating NDVI maps from Sentinel-2 images to monitor crop stress across a farming region.
negative images,Negative images invert pixel intensities so that dark becomes light and vice versa. They aid in enhancing details in X-rays and other applications where bright structures are better seen on a dark background.,Transforming an X-ray film to its negative to highlight bone structures.
negative transformation,This point transformation computes the complement of each pixel’s intensity by subtracting it from the maximum possible value. It produces a photographic negative effect.,s = 255 – r for an 8-bit grayscale image.
neighborhood,"A neighborhood is a small, typically square, region of pixels centered on a target pixel. Filters and local statistics are computed over this region.",A 3×3 neighborhood used for computing local mean around each pixel.
neighborhood size,"The neighborhood size (e.g., 3×3, 5×5) defines how many pixels around the center are involved in local operations. Larger neighborhoods yield stronger smoothing but risk losing fine detail.",Choosing a 7×7 window for stronger smoothing in a noisy photo.
neural network,"A computation model inspired by biological neurons, consisting of interconnected nodes (neurons) arranged in layers, which learn complex mappings via weight adaptation. Neural networks underpin modern deep learning in vision, speech, and language tasks.",Deploying a CNN-based neural network to detect manufacturing defects on an assembly line in real time.
neural style transfer,A technique that recombines the content of one image with the style of another by optimizing an image to match deep feature representations in a pretrained CNN. It uses content and style loss functions derived from convolutional layers.,Transforming a selfie into a Van Gogh–style painting by iteratively updating pixels to match style and content targets.
night-time lights of the world,"Global datasets from DMSP-OLS and VIIRS sensors capturing visible light emissions at night, used to study urbanization, population density, and economic activity patterns after dark.",Using VIIRS night-light composites to model electricity consumption and estimate urban population distribution.
NOAA,"The U.S. National Oceanic and Atmospheric Administration provides earth observation data including satellite imagery, weather forecasts, and environmental monitoring for climate, oceanography, and remote sensing research.",Downloading MODIS sea surface temperature data from NOAA servers to analyze coastal upwelling patterns.
noise reduction,"Techniques for suppressing random variations in pixel intensities (noise) using spatial (Gaussian, median) or transform (wavelet shrinkage) methods, enhancing image quality while preserving edges.",Applying non-local means denoising to reduce sensor noise in low-light astrophotography.
noise removal,"Methods to eliminate impulsive or structured noise—such as salt-and-pepper or striping—using median filters, morphological filters, or specialized algorithms, restoring cleaner images for analysis.",Using a 3×3 median filter to remove salt-and-pepper speckles from a scanned historical document.
nth power transformation,"The nth power transform raises normalized pixel values to the n-th power, compressing or expanding contrast depending on n. Values of n>1 darken an image, while fractional n brighten it.",Using r² (n=2) to darken mid-tones and boost contrast in bright areas.
nth root transformation,"The nth root transform is the inverse of the power transform, stretching lower intensities more than higher ones when n>1. It is useful for revealing shadow detail without blowing out highlights.",Applying √r (n=0.5) to brighten dark regions in a dim image.
NTSC color space,"The analog television color-encoding system used in North America, defining luma (Y) and chroma (I, Q) components. It has a limited gamut and has largely been superseded by digital standards but remains relevant for simulating broadcast signals.",Converting RGB images to NTSC YIQ color space to simulate broadcast color fidelity on vintage TV hardware.
NumPy,"A core Python library for numerical computing that provides N-dimensional array objects, broadcasting, and vectorized operations. NumPy forms the foundation for scientific computing and image processing in the Python ecosystem.","Using NumPy to convert a PIL image to an array, apply a 5×5 convolution via slicing, and convert back to an image."
Nyquist principle,"The sampling theorem that states a signal must be sampled at least twice its highest frequency to avoid aliasing, guiding sensor design and reconstruction filters in imaging systems. It ensures accurate representation of continuous scenes when digitized.",Ensuring a camera’s pixel pitch satisfies the Nyquist rate for the optical system’s maximum spatial frequency to prevent aliasing.
object classification,"The task of assigning a category label to an entire image or a pre-detected region, identifying what object type is present. Classification models learn discriminative features for each class but do not provide object location.","Using a CNN to label a 128×128 crop as “dog,” “cat,” or “bird” in a wildlife photo dataset."
object detection,Locating and categorizing multiple objects within an image by outputting bounding boxes and class labels. Detection networks predict both what objects are present and where they lie spatially.,"Running YOLOv5 on street footage to draw boxes around pedestrians, cars, and cyclists in real time."
object recognition,The combined process of detecting objects and identifying their class or specific instance. Recognition systems handle unknown poses and variations to match objects against known templates or learned embeddings.,A logo recognition app that finds and names brands on product packaging in a retail scene.
object segmentation,"Partitioning an image into pixel-accurate regions corresponding to individual objects (instance segmentation) or classes (semantic segmentation). It produces masks rather than boxes, enabling precise object boundaries.",Applying Mask R-CNN to segment each person in a crowd image with a unique colored overlay.
offset printing,"A commercial printing technique where inked images are transferred (offset) from metal plates to rubber blankets and then onto paper. It enables high-volume, consistent reproduction of text and images with fine detail.",Printing monthly magazines by first etching page layouts onto aluminum plates and running them through an offset press.
ONNX,"The Open Neural Network Exchange is an open format for representing deep learning models across frameworks like PyTorch and TensorFlow. ONNX enables interoperability, allowing a model trained in one library to run in another environment without retraining.",Exporting a PyTorch object-detection model to ONNX and loading it in NVIDIA TensorRT for optimized inference on edge devices.
opacity,"A parameter (0 to 1) defining a layer or pixel’s non-transparency in compositing, where 0 is fully transparent and 1 is fully opaque. Opacity controls how underlying content shows through when layers are blended.",Setting a Photoshop layer’s opacity to 0.5 so the background image remains partially visible beneath a text overlay.
OpenCL,"An open standard for writing parallel code that runs on CPUs, GPUs, and accelerators across vendors. OpenCL kernels accelerate compute-heavy tasks—like convolution and feature extraction—by leveraging device-specific parallelism.",Implementing a Sobel filter in OpenCL to run on an AMD GPU and achieve real-time edge detection on HD video frames.
