Term,Definition,Example
RGB,"Color model with three channels—red, green, blue—combined to represent full‐color images",A DSLR sensor capturing a scenic landscape in RGB
RGBA,Extension of RGB with an alpha channel that encodes opacity,A logo PNG with transparent background uses RGBA
RNNs,Recurrent neural networks that model sequential dependencies via cyclic connections,Generating video captions frame by frame
rods,Retinal cells sensitive to low light,Seeing shapes in a dimly lit room
ROI cropping,"Region of Interest, selecting and extracting a specific subregion of an image for focused processing",Cropping the face region from a photo before running a face-recognition model
rotating drum scanners,Scanners that rotate film-wrapped drums and use linear sensors for high-res digitizing,Drum scanner digitizing a 35 mm film negative at 4000 dpi
sampling,Measuring scene information at discrete spatial or temporal intervals,Video recorded at 30 frames per second
saturation component,Degree of color purity or intensity,S = 0.75 in HSL for a vivid pink
scene element,Individual object or region within an image that contributes to overall interpretation,"Classifying cars, pedestrians, and road in an autonomous-driving scene"
scene understanding,"Holistic analysis combining detected elements, spatial relationships, and semantics","Inferring “intersection ahead” from grouped lane markings, signs, and crosswalks"
scikit-image,Python library of algorithms for image processing built on NumPy/SciPy,Applying skimage.filters.gaussian for smoothing microscopy images
SciPy,"Python ecosystem module for scientific computing, includes ndimage subpackage for multi-dimensional filters",Performing morphological opening and closing with scipy.ndimage.morphology.binary_opening
segmentation,Partitioning an image into coherent regions or labeled objects based on pixel similarity,"Semantic segmentation of road scenes into “road,” “pedestrian,” and “vehicle” classes"
semi-supervised learning,Hybrid approach combining a small set of labeled data with large amounts of unlabeled data to improve model performance,Fine-tuning a segmentation network with a few hand-annotated masks plus many unlabeled scans
sharpening,Emphasizing high-frequency components to accentuate edges and fine details,Unsharp mask filter boosting edge contrast in a portrait
Shi-Tomasi,Corner detector that finds “good” features by evaluating the minimum eigenvalue of the local autocorrelation matrix,Tracking strong interest points across video frames for motion analysis
SIFT (Scale-Invariant Feature Transform),Detects and describes local features invariant to scale and rotation,Stitching overlapping photos into a panorama by matching SIFT keypoints
SIFT keypoints,Scale-Invariant Feature Transform interest points,Matching landmark points between aerial photographs
Sobel,Gradient operator computing approximate first derivatives in X and Y directions,Detecting vertical edges on a road surface with cv2.Sobel
spatial resolution,Smallest discernible detail in an image,A scanner’s 600 dpi capturing fine newspaper print
specialized image hardware,Dedicated processors or circuits optimized for intensive image processing tasks,FPGA-based board in an industrial inspection camera for real-time defect detection
supervised learning,Training paradigm using labeled examples (input paired with target output),Teaching a classifier to label cats vs. dogs from annotated photos
supervised learning pipeline,"Sequence of steps in a supervised ML workflow: data collection, labeling, preprocessing, training, validation, and deployment","Building an object detector: collect images, annotate boxes, augment data, train, tune, and export model"
SURF (Speeded-Up Robust Features),Approximation of SIFT that uses integral images and Hessian matrix for faster keypoint detection,Real-time object recognition by matching SURF descriptors
SVG file type,XML-based vector graphic format scalable without loss,Icon drawn as icon.svg for responsive UI
SVMs,Support Vector Machines—algorithms that find hyperplanes maximizing margin between classes,Separating handwritten digits using an RBF-kernel SVM
television band,Subset of the VHF/UHF radio spectrum allocated for broadcast television signals (54 MHz–806 MHz in US),Over-the-air TV antenna receiving local broadcast channels
TensorFlow,"End-to-end open-source platform for machine learning, supporting training and deployment at scale",Training an image classifier on ImageNet using tf.keras
TensorRT,NVIDIA’s high-performance deep-learning inference optimizer and runtime,Converting a TensorFlow model to a TensorRT engine for real-time inference on Jetson Xavier
three-dimensional image,"Volumetric data representation along X, Y, and Z axes",3D reconstruction of cerebral vasculature from CT angiography
TIFF file type,Flexible lossless raster format for high-quality images,Scanned map archived as map.tiff for print
time domain,"Representation of data varying over time, typically used for sequences of images (video)",Analyzing frame‐by‐frame motion in a video clip
tomography,"Cross-sectional imaging by reconstructing slice data from penetrating waves (e.g., X-rays, sound, electrons)",CT chest scan showing axial slices of lung anatomy
traditional computer vision pipeline,Hand-crafted stages from pre-processing to classification,Filtering → edge detection → feature extraction → rule-based decision
traditional computer vision techniques,Non-learning methods using explicit algorithms,Detecting circles via Hough transform
traditional neural network,"Early, shallow architectures (few hidden layers) used for basic pattern recognition",Single-hidden-layer perceptron distinguishing line-drawn shapes
transmission electron microscopy,High-resolution microscopy transmitting electrons through ultra-thin samples,Imaging viral capsid structure at sub-nanometer scale
two-dimensional image,Flat image representation with only height and width dimensions,Standard X-ray radiograph of a fractured wrist
ultrasound,Real-time visualization using high-frequency sound waves and their echoes,Fetal ultrasound monitoring development in utero
ultraviolet band,"Wavelengths from 10 nm to 380 nm, used to detect fluorescence and surface features",UV photography revealing varnish layers on paintings
Unix,"Family of multitasking, multiuser OSes that influenced modern operating systems",Running legacy C-based image-processing code on Solaris
unsupervised learning,"Learning patterns from unlabeled data by discovering structure, clusters, or latent representations",Grouping animal images into clusters without prior species labels
VGG16,"Deep CNN with 16 weight layers using small (3×3) convolution filters, known for uniform architecture",Feature extraction for transfer learning on medical X-rays
video stabilization,Removing unwanted camera shake by estimating frame-to-frame motion and compensating via transformation,Smoothing handheld footage to produce a steady output in post-production
video tracking,Continuously following one or more objects across video frames using motion prediction and data association,Tracking a ball’s trajectory in sports analytics
VIIRS instruments,Visible Infrared Imaging Radiometer Suite sensors onboard NOAA/NASA satellites recording global radiometric measurements,VIIRS night-time lights data used to monitor urban expansion
virtual reality,Simulated 3D environment presented to the user,Oculus Rift rendering stereoscopic scenes
visible band,Light wavelengths from ~380 nm to 740 nm perceptible by the human eye,Standard digital cameras capturing everyday scenes
vision specialist,"Expert (human or algorithm) focusing on vision tasks, from annotation to fine-tuning model performance",Data scientist labeling bounding boxes on traffic-cam images for training a detection model
watermarking,Embedding hidden or visible marks to assert ownership or authenticity,Inserting a semi-transparent logo into a photograph’s corner
watershed algorithm,Treats grayscale images as topographic surfaces and “floods” catchment basins to segment touching objects,Separating overlapping cells in microscopy images
WebP file type,Modern image format with both lossy and lossless compression modes,Website hero image as header.webp to reduce page load
Wiener deconvolution,Inverse filtering technique that accounts for blur and additive noise via a Wiener filter,Deblurring a motion-blurred document scan using estimated point-spread function
Windows,Microsoft’s proprietary OS with broad software compatibility,Running MATLAB Computer Vision Toolbox on Windows 10
x-ray band,High-energy waves from 0.01 nm to 10 nm that penetrate soft tissues,Medical X-ray radiograph showing bone fractures
YCbCr color space,"Digital color space with luminance (Y) and chroma (Cb, Cr) channels",JPEG compression storing Y and CbCr separately
YIQ color space,"Analog color space splitting luminance (Y) and chrominance (I, Q)",Separating brightness and color in old‐school TV
YOLO,“You Only Look Once”—real-time object detection framework predicting bounding boxes and class probabilities in a single forward pass,Detecting pedestrians and vehicles at 45 fps in dash-cam footage
